2025-04-20 10:44:54,320 Bounding Box: ID=10, Category=person, Coordinates=(432, 250),(479, 327)
2025-04-20 10:44:54,320 Bounding Box: ID=11, Category=motorcycle, Coordinates=(263, 273),(306, 319)
2025-04-20 10:44:54,320 Bounding Box: ID=12, Category=car, Coordinates=(405, 246),(435, 263)
2025-04-20 10:44:54,320 Bounding Box: ID=13, Category=person, Coordinates=(145, 235),(173, 287)
2025-04-20 10:44:54,323 Bounding Box: ID=16, Category=truck, Coordinates=(179, 222),(274, 262)
2025-04-20 10:44:54,323 Bounding Box: ID=17, Category=car, Coordinates=(430, 249),(446, 263)
2025-04-20 10:44:54,323 Bounding Box: ID=18, Category=bus, Coordinates=(0, 198),(11, 239)
2025-04-20 10:44:54,323 Bounding Box: ID=20, Category=motorcycle, Coordinates=(149, 258),(176, 301)
2025-04-20 10:44:54,323 Bounding Box: ID=21, Category=car, Coordinates=(111, 227),(128, 240)
2025-04-20 10:44:54,323 Bounding Box: ID=23, Category=bus, Coordinates=(452, 240),(508, 267)
2025-04-20 10:44:54,323 Bounding Box: ID=24, Category=car, Coordinates=(303, 243),(324, 258)
2025-04-20 10:44:54,323 Bounding Box: ID=30, Category=person, Coordinates=(549, 264),(603, 343)
2025-04-20 10:44:54,323 Bounding Box: ID=31, Category=person, Coordinates=(415, 254),(454, 327)
2025-04-20 10:44:54,323 Bounding Box: ID=32, Category=motorcycle, Coordinates=(276, 282),(307, 319)
2025-04-20 10:44:54,323 Bounding Box: ID=33, Category=car, Coordinates=(392, 246),(407, 260)
2025-04-20 10:44:54,323 Bounding Box: ID=34, Category=backpack, Coordinates=(472, 271),(490, 306)
2025-04-20 10:44:54,323 Bounding Box: ID=35, Category=person, Coordinates=(260, 249),(282, 305)
2025-04-20 10:44:54,323 Bounding Box: ID=36, Category=truck, Coordinates=(206, 224),(274, 262)
2025-04-20 10:44:54,323 Bounding Box: ID=37, Category=person, Coordinates=(191, 235),(204, 261)
2025-04-20 10:44:57,414 Bounding Box: ID=1, Category=car, Coordinates=(478, 253),(611, 303)
2025-04-20 10:44:57,414 Bounding Box: ID=2, Category=car, Coordinates=(298, 244),(376, 286)
2025-04-20 10:44:57,414 Bounding Box: ID=3, Category=motorcycle, Coordinates=(498, 284),(605, 357)
2025-04-20 10:44:57,414 Bounding Box: ID=4, Category=motorcycle, Coordinates=(385, 271),(464, 340)
2025-04-20 10:44:57,414 Bounding Box: ID=6, Category=bus, Coordinates=(732, 190),(847, 332)
2025-04-20 10:44:57,414 Bounding Box: ID=7, Category=person, Coordinates=(264, 245),(304, 305)
2025-04-20 10:44:57,414 Bounding Box: ID=8, Category=car, Coordinates=(654, 266),(738, 327)
