ID: 1, Category: car
Time: 16:01:01, Position: (551.5,320.5), Speed: 6.082762530298219
Time: 16:01:03, Position: (539.5,318.5), Speed: 4.7762432936357
Time: 16:01:07, Position: (520.5,316.5), Speed: 2.7613402542968153
Time: 16:01:09, Position: (515.0,316.0), Speed: 5.174724898753341
Time: 16:01:12, Position: (500.0,312.0), Speed: 5.771698190307598
Time: 16:01:14, Position: (488.5,311.0), Speed: 4.904646323187387
Time: 16:01:17, Position: (474.0,308.5), Speed: 2.0615528128088303
Time: 16:01:19, Position: (470.0,307.5), Speed: 3.890872509976251
Time: 16:01:22, Position: (458.5,305.5), Speed: 5.0990195135927845
Time: 16:01:24, Position: (448.5,303.5), Speed: 7.988272654335229
Time: 16:01:26, Position: (433.5,298.0), Speed: 0.7453559924999299
Time: 16:01:29, Position: (431.5,297.0), Speed: 5.062114182829147
Time: 16:01:31, Position: (422.0,293.5), Speed: 4.0697051490249265
Time: 16:01:33, Position: (414.0,292.0), Speed: 3.562926387738658
Time: 16:01:36, Position: (403.5,290.0), Speed: 1.5206906325745548
Time: 16:01:38, Position: (400.5,289.5), Speed: 3.1622776601683795
Time: 16:01:41, Position: (391.5,286.5), Speed: 3.2882366094914763
Time: 16:01:43, Position: (385.0,285.5), Speed: 3.745367509040705
Time: 16:01:46, Position: (374.5,281.5), Speed: 1.118033988749895

ID: 4, Category: motorcycle
Time: 10:44:44, Position: (460.5,312.0), Speed: 2.0348525745124633
Time: 10:44:48, Position: (452.5,310.5), Speed: 4.0858835573770875
Time: 10:44:51, Position: (440.5,308.0), Speed: 1.0540925533894598
Time: 10:44:54, Position: (437.5,307.0), Speed: 4.362084109434133
Time: 10:44:57, Position: (424.5,305.5), Speed: 3.1841621957571333
Time: 10:45:00, Position: (415.0,304.5), Speed: 5.640257086339239
Time: 10:45:02, Position: (404.0,302.0), Speed: 1.1785113019775793
Time: 10:45:05, Position: (400.5,301.5), Speed: 3.2058973436118907
Time: 10:45:08, Position: (391.0,300.0), Speed: 8.06225774829855
Time: 10:45:09, Position: (383.0,299.0), Speed: 4.8541219597369
Time: 10:45:11, Position: (373.5,297.0), Speed: 1.8027756377319946
Time: 10:45:13, Position: (370.5,295.0), Speed: 4.562071897723665
Time: 10:45:15, Position: (361.5,293.5), Speed: 3.5089172119045497
Time: 10:45:17, Position: (354.5,293.0), Speed: 3.640054944640259
Time: 10:45:20, Position: (344.0,290.0), Speed: 0.7905694150420949
Time: 10:45:22, Position: (342.5,289.5), Speed: 2.5
Time: 10:45:25, Position: (335.0,289.5), Speed: 2.0138409955990952
Time: 10:45:28, Position: (329.5,287.0), Speed: 2.5873624493766707
Time: 10:45:31, Position: (322.0,285.0), Speed: 1.2747548783981961
Time: 10:45:33, Position: (319.5,284.5), Speed: 3.2882366094914763
Time: 10:45:35, Position: (313.0,283.5), Speed: 2.0275875100994063
Time: 10:45:38, Position: (307.0,282.5), Speed: 3.5794552658190883
Time: 10:45:40, Position: (300.0,281.0), Speed: 0.8498365855987974
